时间,分类,图题,图文,标题,地图,作者,来源,经度,纬度,所在府县
1223,城市地图,楷书,楷书,《台州府罗城图》,,,《嘉定赤城志》（嘉庆二十三年重刊本）,121.144,28.880,台州府
1223,区域地图,楷书,楷书,《台州州境图》,,,《嘉定赤城志》（嘉庆二十三年重刊本）,121.144,28.880,台州州
1225,城市地图,,楷书,《鄞县罗城图》,,,《宝庆四明志》,121.549,29.868,鄞县
1225,区域地图,楷书,楷书,《宁波府境图》,,,《宝庆四明志》,121.549,29.868,宁波府
1461,区域地图,,楷书,《山东地理图》,,,《大明一统志》,117.120,36.651,山东省
1488,区域地图,,楷书,《山东总图》,,,《志略》,117.120,36.651,山东省
1548,区域地图,楷书,楷书,《莱芜县境之图》,,,《莱芜县志》,117.659,36.202,莱芜县
1575,区域地图,楷书,楷书,《会稽分治图》,,,《会稽县志》,120.580,30.002,会稽县
1586,区域地图,,楷书,《嵊县境图》,,,《绍兴府志》,120.821,29.588,嵊县
1586,区域地图,楷书,楷书,《绍兴府八县总图》,,,《绍兴府志》,120.580,30.002,绍兴府
1596,区域地图,,楷书,《泗水县城图》,,,《泗水县志》（康熙元年增刊）,117.272,35.653,泗水县
1598,区域地图,,楷书,《恩县疆域图》,,,《恩县志》（雍正元年重刊）,116.280,37.220,恩县
1600,城市地图,楷书,楷书,《东昌府城图》,,,《东昌府志》,115.985,36.456,东昌府
1600,区域地图,,楷书,《东昌府馆陶县疆域图》,,,《东昌府志》,115.280,36.530,馆陶县
1600,区域地图,楷书,楷书,《登州府总图》,,,《登州府志》,120.760,37.810,登州府
1600,区域地图,,楷书,《东昌府临清州疆域图》,,,《东昌府志》,115.711,36.845,临清州
1604,区域地图,楷书,楷书,《胶州境图》,,,《莱州府志》,120.000,36.280,胶州
1609,区域地图,楷书,楷书,《朔漠图》,,,《1609中国古地图集》,110.000,43.000,朔漠
1609,区域地图,楷书,楷书,《廉州府境图》,,,《1609中国古地图集》,109.200,21.660,廉州府
1613,区域地图,,楷书,《南直隶郡县图》,,,《图书编》,118.796,32.060,南直隶
1613,区域地图,,楷书,《南直隶图》,,,《图书编》,118.796,32.060,南直隶
1615,区域地图,楷书,楷书,《青州府总图》,,,《青州府志》,118.480,36.680,青州府
1615,区域地图,楷书,楷书,《沂水县境图》,,,《青州府志》,118.630,35.790,沂水县
1624,城市地图,楷书,楷书,《慈谿县治图》,,,《慈谿县志》,121.260,30.170,慈谿县
1624,区域地图,楷书,楷书,《慈谿县境图》,,,《慈谿县志》,121.260,30.170,慈谿县
